,region,location,activity,title,description,price,rating,review_count,duration,url,description_clean,general
13,Visayas,Cebu,Day Trips,Bohol Chocolate Hills & Tarsiers with roundtrip ferry from Cebu,We had such a great time in Bohol! First class service all of the way! Leila met us at hotel and took us to the train station. Once we arrived in Bohol we were greeted by Bing and we were off. Bing was very knowledgeable and a local to the island. Our driver Fidel was quiet but cracked a few smiles throughout the day. The Chocolate Hills were amazing and the Tarsiers were so cute. Our mini river cruise with lunch was delicious and it was neat to meet the Ati tribe. We really enjoyed our special one day tour and would highly recommend this company.,11340.82,4.5,3,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298461-d18844735-Bohol_Chocolate_Hills_Tarsiers_with_roundtrip_ferry_from_Cebu-Lapu_Lapu_Mactan_Isl.html,great time Bohol First class service way Leila met us hotel took us train station arrived Bohol greeted Bing Bing knowledgeable local island driver Fidel quiet cracked smiles throughout day Chocolate Hills amazing Tarsiers cute mini river cruise lunch delicious neat meet Ati tribe really enjoyed special one day tour would highly recommend company,Tours
14,Luzon,Palawan,Snorkeling,El Nido Tour C - Hidden Beaches & Snorkeling tour(Private/Shared),"We will visit El Nido's best hidden beaches and islands. The Secret beach, a piece of paradise concealed by the cliffs is only accessible through a narrow crevice. You will have to swim through this opening to reach this heavenly place which is shining even under the shade created by the sun kissed cliffs. The other one, Hidden beach is surrounded by limestone rocks formations and a natural pool filled with crystal clear waters. It cannot seen from the open sea. You'll have to walk and swim for a couple of minutes to gets to it. There are black and brown seaweed which makes it's a safe havens for the endangered fish. Our next stop, Matinloc island is shaped like a heart from aerial view. Within a simple climb to leveled out limestones, you'll find a 360 degree views of the surroundings. Helicopter island and Talisay beach are a couple of awesome snorkeling areas for decent amount of marine life creatures. End of the day, we will drop you back to the El Nido floating dock.",3454.06,5,1,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294256-d25128455-El_Nido_Tour_C_Hidden_Beaches_Snorkeling_tour_Private_Shared-El_Nido_Palawan_Islan.html,visit El Nidos best hidden beaches islands Secret beach piece paradise concealed cliffs accessible narrow crevice swim opening reach heavenly place shining even shade created sun kissed cliffs one Hidden beach surrounded limestone rocks formations natural pool filled crystal clear waters seen open sea Youll walk swim couple minutes gets black brown seaweed makes safe havens endangered fish next stop Matinloc island shaped like heart aerial view Within simple climb leveled limestones youll find 360 degree views surroundings Helicopter island Talisay beach couple awesome snorkeling areas decent amount marine life creatures End day drop back El Nido floating dock,Water Activities
15,Visayas,Cebu,Day Trips,Bohol Day Tour with Round-Trip Transfers from Cebu,"Take advantage of Bohol?ÅEEEEEEEE???ÅEEEEEEEEs close proximity to Cebu on a Day Trips that reveals the highlights of the island in just one day. Designed with time-pressed and first-time visitors in mind, this tour saves you the hassle of advance planning by taking care of hotel transfers, ferry tickets, lunch, and admission tickets.",11340.82,4.5,22,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d12469348-Bohol_Day_Tour_with_Round_Trip_Transfers_from_Cebu-Cebu_City_Cebu_Island_Visayas.html,Take advantage BoholÅEEEEEEEEÅEEEEEEEEs close proximity Cebu Day Trips reveals highlights island one day Designed timepressed firsttime visitors mind tour saves hassle advance planning taking care hotel transfers ferry tickets lunch admission tickets,Tours
16,Luzon,Metro Manila,Hiking,Day hike to Mount Daraitan with Tinipak River 2023,Awesome experience!!! Driver Paulo got to my Airbnb right on time but my date was a little late so he said he would wait since there was no one else riding with us. After 20 minutes we saw her and headed out. He asked if we were hungry and we stopped by this restaurant that he chose (Wyndells Al Fresco) and the view was beautiful. After a quick bite we got to our destination and our guide Alma was extremely helpful! Word of caution: pack very lightly! The trail was arduous but worth it. Then take a dip in the river. But only in a certain spot because the current might be a little strong. All in all this is definitely worth it and I?ÅEEEEEEEE???ÅEEEEEEEEm coming back. Another huge plus was that it was just me and m,7483.79,5,5,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d20061700-Day_hike_to_Mount_Daraitan_with_Tinipak_River_2023-Manila_Metro_Manila_Luzon.html,Awesome experience Driver Paulo got Airbnb right time date little late said would wait since one else riding us 20 minutes saw headed asked hungry stopped restaurant chose Wyndells Al Fresco view beautiful quick bite got destination guide Alma extremely helpful Word caution pack lightly trail arduous worth take dip river certain spot current might little strong definitely worth IÅEEEEEEEEÅEEEEEEEEm coming back Another huge plus,Tours
17,Luzon,Metro Manila,Snorkeling,Wonderful Snorkeling Trip from Manila! updated 2023***,"This trip will take you to the province of Batangas specifically San Luis which usually takes 2-2.5 hour drive from Manila. you will be greeted with tranquil water with amazing shades of blue. we will have a 10-minute boat ride to get to our staging point. from the boat ride, you will already see the beautiful corals that this place has to offer. it is wide and plenty to see. we will spend roughly 4-5 hours at this place as it has a big snorkeling area. there is also a full functional restaurant where you can buy meals and drinks throughout the day.

*** Free pick up/drop off from your hotel in Makati, Taguig, Ermita (Manila), Malate(Manila),, Muntinlupa and Pasay. additional charges will incur outside these areas",7195.95,5,2,8,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d18343373-Wonderful_Snorkeling_Trip_from_Manila_updated_2023-Manila_Metro_Manila_Luzon.html,trip take province Batangas specifically San Luis usually takes 225 hour drive Manila greeted tranquil water amazing shades blue 10minute boat ride get staging point boat ride already see beautiful corals place offer wide plenty see spend roughly 45 hours place big snorkeling area also full functional restaurant buy meals drinks throughout day Free pick updrop hotel Makati Taguig Ermita Manila MalateManila Muntinlupa Pasay additional charges incur outside areas,Water Activities
18,Visayas,Cebu,Day Trips,Kalanggaman Island Day Tour Package from Cebu City or Mactan,Very friendly services specially our driver and your guy. Live the beach October the water is very warm. The weather is good. Highly recommend ..?ÅEEEEEEEE?ÅEEEEEEEE?ÅEEEE?¯?ÅEEEEEEEE?ÅEEEEEEEE?ÅEEEEEEEE?ÅEEEEEEEE?ÅEEEEEEEE?ÅEEEEEEEE?ÅEEEEEEEE???ÅEEEEEEEE????thanks friends..,7771.63,5,1,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294261-d17517008-Kalanggaman_Island_Day_Tour_Package_from_Cebu_City_or_Mactan-Cebu_Island_Visayas.html,friendly services specially driver guy Live beach October water warm weather good Highly recommend ÅEEEEEEEEÅEEEEEEEEÅEEEE¯ÅEEEEEEEEÅEEEEEEEEÅEEEEEEEEÅEEEEEEEEÅEEEEEEEEÅEEEEEEEEÅEEEEEEEEÅEEEEEEEEthanks friends,Tours
19,Visayas,Cebu,Day Trips,Cebu City Historical Tour,"Nous avons pass?ÅEEEE?? un super moment, nous avons appris ?ÅEEEE??norm?ÅEEEE??ment sur l'histoire du pays. C'est un r?ÅEEEE??el plaisir !Merci encore Leila !",7676.07,5,1,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d18912177-Cebu_City_Historical_Tour-Cebu_City_Cebu_Island_Visayas.html,Nous avons passÅEEEE un super moment nous avons appris ÅEEEEnormÅEEEEment sur lhistoire du pays Cest un rÅEEEEel plaisir Merci encore Leila,Tours
20,Luzon,Metro Manila,Snorkeling,Amazing Anilao Snorkel Safari (with transfers from Manila) updated 2022,"Mark and Pedro were the best! They communicated with us about pick up, and were VERY prompt for arrival. They made sure we had everything we needed before leaving for the snorkel sites. They gave us soo much history about the Philippines on the way there. The snorkeling was great, and when we were ready to move to the next site, they were fast and getting us there. They both have such a deep love and respect for their country. And it showed by just them picking up some blown in trash at a spot, to giving us great suggestions for the rest of the trip. My only regret is that my son, and I couldn't have Mark and Pedro as our guide for the rest of our trip here in the Philippines!! Thank you for a great trip!",9210.82,5,8,8,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d17459359-Amazing_Anilao_Snorkel_Safari_with_transfers_from_Manila_updated_2022-Manila_Metro.html,Mark Pedro best communicated us pick prompt arrival made sure everything needed leaving snorkel sites gave us soo much history Philippines way snorkeling great ready move next site fast getting us deep love respect country showed picking blown trash spot giving us great suggestions rest trip regret son couldnt Mark Pedro guide rest trip Philippines Thank great trip,Water Activities
21,Visayas,Cebu,Day Trips,Full-Day Moalboal Islands and Kawasan Falls Small-Group Tour from Cebu,"I have no complaints about the trip, I just think that having a guide and a driver was overkill and we probably therefore paid over the odds. The guide, lovely and polite as she was, added little to the experience as she actually slept more of the long journey than we did ourselves and didn't interact that much compared to other guides we have had. The driver on the other hand was an absolute star getting us there and back safely and in not too bad a time considering the distance/conditions/traffic. Unfortunately we couldn't do one of the islands due to rough water but the Sardine run was amazing to see. Wall to wall super shoals of sardines glimmering in the water, topped off with turtles too...and a few jelly fish, nothing too painful though.I do think they should start restricting numbers better as the area is full of boats coming and going with lots of none swimmers being towed around in the water with no control of their own. It felt a little like an accident waiting to happen. Kawasan falls is lovely, if a little underwhelming due to the crowds if I'm honest.Given it's massive build up I was just expecting something else, maybe we should have done the canyoning to get the full experience. The walk along the river to the falls is beautiful, the milky water beautiful too but there are many falls in Phillipines that are as if not more spectacular.Lunch was included and was plentiful and tasty fried chicken rice veg etc.",9498.66,5,5,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294261-d12650978-Full_Day_Moalboal_Islands_and_Kawasan_Falls_Small_Group_Tour_from_Cebu-Cebu_Island.html,complaints trip think guide driver overkill probably therefore paid odds guide lovely polite added little experience actually slept long journey didnt interact much compared guides driver hand absolute star getting us back safely bad time considering distanceconditionstraffic Unfortunately couldnt one islands due rough water Sardine run amazing see Wall wall super shoals sardines glimmering water topped turtles tooand jelly fish nothing painful thoughI think start restricting numbers better area full boats coming going lots none swimmers towed around water control felt little like accident waiting happen Kawasan falls lovely little underwhelming due crowds Im honestGiven massive build expecting something else maybe done canyoning get full experience walk along river falls beautiful milky water beautiful many falls Phillipines spectacularLunch included plentiful tasty fried chicken rice veg etc,Tours
22,Visayas,Bohol,Day Trips,Private Bohol and Chocolate Hills with Loboc River Cruise,Our tour guide Elmer was so knowledgeable and friendly. He made the day!! We loved all Of the activit?ÅEEEE??s. Didn?ÅEEEEEEEE???ÅEEEEEEEEt have to wait in any lines everything just went so smoothly. I would strongly recommend this activity for anyone who wants to explore Bohol in comfort.,6052.08,4.5,6,6,https://www.tripadvisor.com.ph/AttractionProductReview-g1036817-d12468524-Private_Bohol_and_Chocolate_Hills_with_Loboc_River_Cruise-Panglao_Island_Bohol_Pr.html,tour guide Elmer knowledgeable friendly made day loved activitÅEEEEs DidnÅEEEEEEEEÅEEEEEEEEt wait lines everything went smoothly would strongly recommend activity anyone wants explore Bohol comfort,Tours
23,Luzon,Metro Manila,Day Trips,Tagaytay-Pagsanjan Falls combo tour with transfers** updated 2023,"Tagaytay and Pagsanjan Falls are two of the most popular destinations in the Philippines, known for their stunning natural beauty and rich cultural heritage. As a tourist, you don't want to miss the chance to explore these amazing places, and a one-day tour is the perfect way to do it.

Our Tagaytay-Pagsanjan Falls one-day tour offers you the opportunity to visit two of the most beautiful destinations in the Philippines in just one day. You'll start your journey in Tagaytay, where you'll enjoy the breathtaking view of Taal Lake and Volcano, one of the country's most iconic landmarks. 

After enjoying the sights of Tagaytay, you'll head to Pagsanjan Falls, where you'll get to experience the beauty of the majestic waterfalls. You'll take a scenic boat ride along the river and then hike through the lush forest to reach the falls. Once there, you can swim in the refreshing waters, take stunning photos, and simply enjoy the beauty of the natural surroundings.",11513.53,5,5,10,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d17420200-Tagaytay_Pagsanjan_Falls_combo_tour_with_transfers_updated_2023-Manila_Metro_Manil.html,Tagaytay Pagsanjan Falls two popular destinations Philippines known stunning natural beauty rich cultural heritage tourist dont want miss chance explore amazing places oneday tour perfect way TagaytayPagsanjan Falls oneday tour offers opportunity visit two beautiful destinations Philippines one day Youll start journey Tagaytay youll enjoy breathtaking view Taal Lake Volcano one countrys iconic landmarks enjoying sights Tagaytay youll head Pagsanjan Falls youll get experience beauty majestic waterfalls Youll take scenic boat ride along river hike lush forest reach falls swim refreshing waters take stunning photos simply enjoy beauty natural surroundings,Tours
24,Luzon,Palawan,Day Trips,Private 4-kilometer Puerto Princesa Underground River Tour with lunch,"Want to explore deeper into the underground river? This tour will bring up to 4 kilometers deeper in the underground river. 

You will be picked up from your hotel or a common meeting point at around 7 in the morning. Your guide will bring you to the starting point in Sabang where you'll board a motor boat for 20 minutes. 

Once you're at the Park, you'll board a paddle boat that will bring you inside the cave. Instead of the usual 45 minutes, you'll be inside the cave for about 3 hours. This tour is definitely not for the faint-hearted.

After the tour, you'll head back to Sabang beach where you'll enjoy a sumptuous Filipino feast.

Optional activities are available on site, you may ask more about these from your tour guide.",14391.91,5,3,8,https://www.tripadvisor.com.ph/AttractionProductReview-g294255-d19831052-Private_4_kilometer_Puerto_Princesa_Underground_River_Tour_with_lunch-Palawan_Isla.html,Want explore deeper underground river tour bring 4 kilometers deeper underground river picked hotel common meeting point around 7 morning guide bring starting point Sabang youll board motor boat 20 minutes youre Park youll board paddle boat bring inside cave Instead usual 45 minutes youll inside cave 3 hours tour definitely fainthearted tour youll head back Sabang beach youll enjoy sumptuous Filipino feast Optional activities available site may ask tour guide,Tours
